Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,Genres
Afraid To Feel,Afraid To Feel,LF SYSTEM,05-02-2022,GBAHT2200492,656,59.3,"35,52,03,657","1,46,218","6,07,83,514",74,"4,67,43,730","3,81,567",hip hop
Wow.,Wow.,Post Malone,12/24/2018,USUM71822626,657,59.3,"1,68,06,12,367","2,01,840","5,69,14,511",74,"63,08,90,897","59,12,252",Rythem
Radioactive,Hear Me EP,Imagine Dragons,01-01-2012,USUM71201074,654,59.3,"1,83,63,62,703","2,36,427","6,89,78,853",75,"1,83,85,44,809","1,28,24,587",Blues
RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),Black Eyed Peas,10-12-2019,USSM11912430,659,59.2,"96,13,58,721","1,55,959","4,72,78,163",65,"1,18,87,37,111","75,47,115",Folk Music
hot girl bummer,hot girl bummer,blackbear,8/23/2019,USUG11902959,658,59.2,"1,26,50,80,733","1,98,773","3,06,44,248",70,"35,65,98,545","55,39,172",Disco
Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,01-11-2019,GBUM71807386,663,59.1,"1,34,91,15,675","1,13,525","5,35,04,146",71,"1,02,98,03,478","47,17,155",Rock
Heartbreak Anniversary,HEARTBREAK ANNIVERSARY,Giveon,2/21/2020,USSM12000998,665,59.1,"1,15,72,06,056","1,89,404","6,32,15,005",75,"15,81,31,164","14,88,878",pop
Toxic,Faded,BoyWithUke,09-10-2021,TCAFS2101442,662,59.1,"69,00,10,618","1,45,080","1,67,30,668",69,"36,60,93,721","73,90,377",jazz
Tennessee Whiskey,Tennessee Whiskey,Chris Stapleton,4/28/2015,USUM71418088,661,59.1,"95,40,73,526","1,62,233","3,60,21,163",77,"1,15,33,79,467","66,45,883",Rock
Up,Up (Instrumental),Cardi B,02-04-2021,USAT22100061,664,59.1,"64,69,16,214","97,970","3,41,02,798",65,"49,68,50,951","62,66,644",pop
UN PREVIEW,UN PREVIEW,Bad Bunny,9/25/2023,QMFME2329236,660,59.1,"25,34,55,087","45,343","2,67,14,184",,"7,19,40,311","11,17,686",jazz
Prada Dem (feat. Offset),Prada Dem (feat. Offset),Gunna,3/15/2024,USAT22401724,669,58.9,"5,73,74,288","10,723","4,36,70,163",,"1,06,57,679","2,09,937",hip hop
Don't Be Shy,Don't Be Shy - Single,Tiï¿½ï¿,08-12-2021,CYA112000981,670,58.9,"68,63,71,118","95,938","6,23,00,199",69,"47,97,21,274","30,66,965",Rythem
Sabor Fresa,Sabor Fresa,Fuerza Regida,6/22/2023,QZ9QQ2300457,668,58.9,"50,25,36,183","37,578","2,28,83,474",77,"15,14,06,654","8,86,902",Blues
MON LOVE OHO,MON LOVE OHO,Liamsi,04-07-2023,QZMEV2363867,666,58.9,"2,42,15,252","12,008","9,50,490",48,"1,23,81,597","1,91,468",Folk Music
Surround Sound (feat. 21 Savage & Baby Tate),Surround Sound (feat. 21 Savage & Baby Tate),JID,1/14/2022,USUM72123571,667,58.9,"54,87,24,288","1,70,892","8,07,27,459",79,"9,16,05,414","15,39,359",Disco
Feather,emails i canï¿½ï¿½ï¿½t send fwd,Sabrina Carpenter,3/17/2023,USUM72301876,673,58.8,"48,89,79,989","32,825","7,96,36,817",84,"8,81,26,911","13,78,287",Rock
Super Gremlin,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Kodak Black,10/30/2021,USAT22107295,672,58.8,"41,69,55,991","1,23,862","2,55,61,593",63,"17,40,09,595","16,40,732",pop
Natural,Natural,Imagine Dragons,7/17/2018,USUM71806694,674,58.8,"1,22,85,56,153","1,54,255","3,69,41,962",75,"1,22,05,81,919","1,09,53,316",jazz
La Triple M,La Triple M,Mawell,06-02-2023,QM6P42364524,671,58.8,"4,45,57,662","9,405","32,24,288",59,"8,86,74,781","4,31,451",Rock
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,12/27/2019,USSM11914988,675,58.8,"70,98,50,383","1,65,912","3,37,06,762",70,"7,55,40,671","7,50,424",pop
"Fear Song (From ""Devara Part 1"") [Tamil]","Fear Song (From ""Devara Part 1"") [Tamil]",Anirudh Ravichander,5/19/2024,INS182401563,677,58.7,"9,45,093",63,"9,44,526",,"3,92,78,201","6,56,672",Rock
High Hopes,High Hopes On Saturday Night,Panic! At The Disco,5/23/2018,USAT21801174,678,58.7,"1,60,20,76,880","2,07,598","9,95,17,459",75,"28,44,27,491","25,09,207",pop
Papa,Papa,Lori,11/24/2022,CH6542286446,676,58.7,,,,,"82,90,51,158","28,99,554",jazz
Memory Reboot,Memory Reboot,Vï¿½,1/13/2023,QM4TW2307105,679,58.6,"16,80,87,455","33,442","1,66,18,553",71,"13,96,56,144","20,54,412",hip hop
Side To Side,Dangerous Woman,Ariana Grande,04-01-2016,USUM71602107,680,58.6,"1,42,77,92,654","1,20,921","3,83,22,144",70,"2,45,80,18,861","1,46,68,122",Rythem
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300831,681,58.6,"92,20,10,059","5,520","5,76,014",50,,,Blues
Build a Bitch,Build a Bitch,Bella Poarch,5/14/2021,USWB12101016,682,58.5,"45,25,42,081","81,642","2,16,51,326",63,"57,52,28,171","1,33,96,525",Folk Music
"Natanael Cano: Bzrp Music Sessions, Vol. 59","Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,04-02-2024,UYB282401007,683,58.4,"12,66,19,484","6,242","2,74,62,520",79,"5,54,18,429","18,48,749",Disco
400 Degreez,400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400062,687,58.3,"1,16,10,247",2,2,,,,Rock
Y LLORO,$AD BOYZ 4 LIFE II,Junior H,10-05-2023,QZ9QQ2300724,685,58.3,"36,38,16,146","16,161","1,63,93,454",80,"18,91,58,687","7,68,324",pop
Streets,Hot Pink,Doja Cat,11-07-2019,USRC11903460,686,58.3,"1,05,69,39,084","1,54,003","6,28,48,076",75,"70,24,63,556","82,69,225",jazz
How We Roll,How We Roll,Ciara,08-04-2023,QZS7J2357291,684,58.3,"3,60,07,719","11,757","18,29,300",53,"6,63,50,451","8,33,138",Rock
"Satranga (From ""Animal"")","Satranga (From ""Animal"") - Single",Arijit Singh,10/28/2023,INS182303075,690,58.2,"21,43,52,397","9,450","1,50,24,564",76,"24,07,62,258","20,03,670",pop
My Universe,My Universe,Coldplay,9/24/2021,GBAYE2100952,688,58.2,"1,26,96,07,301","1,24,247","7,92,96,537",71,"51,89,12,320","1,73,73,598",jazz
Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),Young Nudy,2/27/2023,USRC12300570,689,58.2,"15,74,46,814","54,118","1,56,60,760",64,"12,00,10,894","9,62,140",hip hop
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,10-08-2021,USRC12101071,691,58.1,"24,87,49,251","1,03,369","1,16,93,843",61,"31,80,02,064","28,74,323",Rythem
Thinking Out Loud,Piano Moods: 50 Songs,Ed Sheeran,3/28/2017,ITD541500554,693,58,"4,73,328",17,"2,117",7,"3,77,71,05,479","1,52,14,286",Blues
O Me Voy O Te Vas,O Me Voy O Te Vas,Natanael Cano,10-11-2023,QZ9QQ2300812,692,58,"22,62,33,020","14,009","2,24,57,916",77,"23,25,13,811","10,40,989",Folk Music
Punterï¿½,Punterï¿½,Shakira,3/21/2024,USQX92400523,697,57.9,"4,44,16,140","3,482","4,06,92,106",,"3,75,87,721","7,23,249",Disco
Girls Like You (feat. Cardi B),Red Pill Blues (Deluxe),Maroon 5,11-03-2017,USUM71805272,694,57.9,"1,65,01,67,380","1,45,231","3,50,76,065",66,"1,22,54,67,157","70,96,961",Rock
Slime You Out (feat. SZA),Slime You Out,Drake,9/15/2023,USUG12306064,696,57.9,"20,21,69,670","54,946","2,35,94,885",,"48,00,069","76,129",pop
Therefore I Am,Therefore I Am,Billie Eilish,11-12-2020,USUM72021500,695,57.9,"80,51,33,547","1,32,298","3,43,41,587",67,"35,75,56,016","99,30,750",jazz
Wish You The Best,Wish You The Best,Lewis Capaldi,4/14/2023,DEUM72206010,701,57.8,"24,55,13,981","37,111","2,21,60,670",71,"9,96,97,837","13,75,852",Rock
New Rules,Summer Beats 2018,Dua Lipa,7/20/2018,TRAA31800147,698,57.8,,,,,"3,09,08,49,766","1,83,23,060",pop
Stitches,Stitches,Shawn Mendes,02-10-2015,USUM71500658,700,57.8,"1,90,77,68,690","1,70,905","5,85,51,250",69,"2,11,51,12,270","1,63,09,142",jazz
Back On 74,Back On 74,Jungle,7/28/2023,QM4TX2336316,702,57.8,"21,21,22,034","61,462","7,33,47,896",80,"4,97,94,673","9,97,193",hip hop
"Welcome To Rosas - From ""Wish""","Welcome To Rosas (From ""Wish"")",Ariana DeBose,11-01-2023,USWD12328240,699,57.8,"1,23,75,503","1,146","69,69,708",,"44,96,444","25,217",Rythem
Por Mi Mexico (Remix),"Por Mi Mï¿½ï¿½xico (Remix) [feat. Dharius, C-Kan, MC Davo & Neto Peï¿½ï¿½a] ",Lefty Sm,8/25/2023,QM3DF2219446,703,57.7,"9,87,95,736","8,721","69,21,023",67,"23,67,34,405","15,54,966",Blues
THIS YEAR (Blessings),THIS YEAR (Blessings) (feat. Ehis 'D' Greatest) - Single,Victor Thompson,01-04-2023,QZFYY2339108,705,57.7,"13,42,08,327","45,328","76,06,515",61,"9,37,87,998","9,47,363",Folk Music
"Abrarï¿½ï¿½ï¿½s Entry | Jamal Kudu ""ANIMAL"")","Abrarï¿½ï¿½ï¿½s Entry | Jamal Kudu ""ANIMAL"")",Harshavardhan Rameshwar,12-06-2023,INS182303500,704,57.7,"5,68,85,072","4,639","15,10,883",,"22,18,66,727","30,18,127",Disco
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,09-03-2021,USUG12104402,708,57.6,"81,91,36,167","2,20,374","4,26,48,915",75,"17,36,33,158","13,99,290",Rock
Mayores,Mayores,Becky G,7/14/2017,USRC11701270,709,57.6,"70,95,59,454","66,677","2,64,17,997",66,"2,66,02,40,919","99,01,740",pop
CHORRITO PA LAS ANIMAS,SIXDO,Feid,12-02-2022,USUM72222460,707,57.6,"55,85,60,568","61,360","2,69,03,567",75,"22,82,42,847","8,52,495",jazz
New Divide,Papercuts,Linkin Park,04-12-2024,USWB12400679,706,57.6,"34,02,39,513",161,"9,23,021",,,,Rock
White Horse,White Horse,Chris Stapleton,7/21/2023,USUG12300484,711,57.5,"15,54,43,055","28,835","1,51,22,339",68,"3,84,42,511","2,91,339",pop
Ojitos Rojos,Ojitos Rojos - Single,Grupo Frontera,7/21/2023,DGA062368509,712,57.5,"22,12,87,566","20,975","1,04,61,108",70,"29,10,73,034","10,12,209",jazz
La Morocha,La Morocha,Luck Ra,07-07-2023,CLPP22300045,710,57.5,"16,12,80,933","17,882","1,18,97,449",66,"28,95,61,672","9,67,949",hip hop
Who Is Your Guy?,Who Is Your Guy?,Spyro,11/25/2022,QZW9L2260049,714,57.4,"2,12,36,593","6,366","5,92,410",52,"17,33,34,286","6,60,871",Rythem
You Right,You Right,Doja Cat,6/24/2021,USRC12100544,713,57.4,"83,16,48,193","1,19,953","4,48,66,271",72,"37,94,04,120","39,91,416",Blues
AMG,AMG,Natanael Cano,11/24/2022,QZ9QQ2200105,715,57.3,"67,40,25,091","51,522","2,16,63,790",70,"32,39,42,993","15,75,190",Folk Music
Bandido,Bandido,Myke Towers,12-10-2020,QMFME2047291,717,57.2,"70,01,22,551","99,936","2,36,05,544",68,"1,03,63,34,853","49,39,844",Disco
Karma,Karma,JoJo Siwa,04-05-2024,USSM12401851,716,57.2,"1,73,10,258","1,840","54,19,557",,"4,38,92,777","3,68,031",Rock
El Gordo Trae El Mando,El Gordo Trae El Mando,Chino Pacas,1/27/2023,FR10S2386363,720,57.1,"54,52,34,876","38,598","2,02,58,181",76,"17,84,69,204","9,07,782",pop
Ya No Tengo Tu Love,Origami,Sie7e,12-06-2023,QZHN22300206,718,57.1,"45,61,175","1,911","3,00,718",,"55,99,363","1,09,997",jazz
52 Gaj Ka Daman,52 Gaj Ka Daman,Renuka Panwar,10-02-2020,INV772001001,719,57.1,"4,89,29,060","4,295","6,19,647",52,"1,73,66,97,874","84,77,892",Rock
FTCU,Pink Friday 2,Nicki Minaj,12-08-2023,USUM72318679,722,57,"16,79,77,668","24,101","3,55,83,769",,"3,89,01,823","5,51,972",pop
Go Crazy,Slime & B,Young Thug,05-05-2020,USRC12001468,721,57,"69,93,36,080","1,26,934","2,08,87,762",68,"36,33,33,168","31,59,553",Rock
La Jumpa,La Jumpa,Arcï¿½ï¿½,11/30/2022,QMDA72252608,726,56.9,"71,68,29,483","99,063","5,30,41,655",68,"13,10,57,530","13,00,009",pop
I Don't Care,I Don't Care - Single,Boy Spyce,2/23/2024,NGA3B2318016,723,56.9,"34,75,009",328,"7,17,595",,"38,69,518","43,717",jazz
Roar,2013 The Hottest,Katy Perry,01-01-2013,USUM71308669,725,56.9,"1,15,61,91,242","1,46,653","6,81,07,488",73,"4,38,66,26,671","1,98,22,950",hip hop
No Guidance (feat. Drake),No Guidance (feat. Drake),Chris Brown,06-08-2019,USRC11901583,724,56.9,"1,03,05,15,485","1,57,003","3,50,28,641",70,"80,92,18,963","58,61,900",Rythem
34+35,Positions,Ariana Grande,10/30/2020,USUM72020423,727,56.8,"97,86,17,707","97,191","4,09,17,688",70,"72,23,72,895","1,15,82,120",Blues
Permission to Dance,Butter / Permission to Dance,BTS,07-09-2021,QMFME2102684,728,56.8,"67,57,63,141","43,682","2,79,94,315",68,"88,10,72,427","2,90,73,682",Folk Music
changes,changes,XXXTENTACION,03-02-2018,USUG11800211,729,56.8,"1,36,64,79,990","1,71,651","3,67,31,138",70,"1,00,24,22,657","1,41,34,657",Disco
Tell Ur Girlfriend,Tell Ur Girlfriend,Lay Bankz,02-07-2024,QZZ4J2400019,730,56.7,"16,74,31,139","10,335","11,62,87,670",90,"2,89,87,197","4,43,524",Rock
SPIDER,SPIDER,GIMS,05-10-2024,FR8FB2407800,731,56.6,"2,69,72,053","3,364","1,16,37,634",76,"1,88,60,058","2,31,781",pop
Sunday Best,Where the Light Is,Surfaces,8/28/2018,TCAEA1802695,733,56.6,"95,26,26,904","1,51,446","2,76,74,084",16,"19,56,96,821","25,97,296",jazz
Guli Mata,Guli Mata,Saad Lamjarred,07-12-2023,USA2P2331239,734,56.6,"7,51,52,048","8,540","6,85,520",62,"38,68,90,237","41,45,747",Rock
HOLA PERDIDA,HOLA PERDIDA,Luck Ra,01-05-2024,CLPP22300118,732,56.6,"11,05,73,724","10,663","1,71,55,186",69,"14,30,32,680","5,68,468",pop
Better,Better,Khalid,9/14/2018,USRC11803179,736,56.5,"1,35,55,39,058","1,08,485","2,04,94,060",72,"1,26,07,52,640","61,04,356",jazz
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,05-10-2019,GBAHS1900672,735,56.5,"1,81,63,56,140","1,56,748","7,40,47,669",70,"1,09,58,59,229","1,11,44,552",hip hop
Substitution,Substitution,Purple Disco Machine,3/30/2023,DEE862300093,737,56.4,"21,80,35,732","36,861","4,82,20,875",72,"8,77,39,719","4,94,331",Rythem
Automotivo Bibi Fogosa,Automotivo Bibi Fogosa,Bibi Babydoll,5/19/2023,QZMZ92361338,739,56.4,"26,78,67,000","47,406","3,24,23,214",36,"10,94,40,296","17,22,866",Blues
MERCHO,MERCHO,LiL CaKe,12/16/2022,ARF102200411,738,56.4,"36,64,62,735","52,345","2,71,29,754",67,"18,46,22,271","8,42,979",Folk Music
Bandook,Bandook,Nirvair Pannu,5/30/2020,FR96X2024977,740,56.4,"4,01,78,056","5,825","6,38,204",54,"15,65,28,470","14,10,824",Disco
Silence,Silence,Marshmello,08-11-2017,USRC11701901,741,56.3,"1,59,24,40,653","1,88,349","5,25,73,571",77,"78,39,59,373","61,01,966",Rock
Miï¿½ï¿½n,Miï¿½ï¿½n,TINI,4/29/2021,USHR12141512,742,56.3,"72,37,22,454","79,670","3,59,67,048",73,"86,94,98,397","49,48,905",pop
Trap Queen,Trap Queen,Fetty Wap,12/15/2014,QM7XC1400004,744,56.2,"1,18,23,73,720","2,01,337","3,66,98,633",70,"1,26,04,63,421","86,11,729",jazz
Sign of the Times,Sign of the Times,Harry Styles,04-07-2017,USSM11703595,743,56.2,"1,53,26,53,504","1,91,817","8,53,80,382",76,"1,79,99,35,129","1,54,52,150",Rock
METAMORPHOSIS,METAMORPHOSIS,INTERWORLD,11/25/2021,QZS642102633,746,56.2,"62,40,07,138","88,566","4,85,03,856",76,"30,03,40,121","39,13,127",pop
Botella Tras Botella,Botella Tras Botella,Gera MX,4/23/2021,MXUM62100001,747,56.2,"64,74,96,971","72,494","2,20,27,404",71,"89,59,62,908","76,17,641",jazz
"Me, Myself & I","Me, Myself & I",G-Eazy,10/14/2015,USRC11502210,745,56.2,"1,28,08,38,046","1,74,312","3,97,98,446",73,"80,76,88,972","60,60,762",hip hop
"Steal The Show - From ""Elemental""","Steal The Show (From ""Elemental"")",Lauv,06-02-2023,USWD12326770,749,56.1,"11,77,17,973","20,157","1,23,72,416",68,"19,80,45,947","11,42,920",Rythem
Lut Gaye,Lut Gaye,Jubin Nautiyal,2/17/2021,INS182100281,751,56.1,"17,18,56,399","16,697","38,73,550",56,"1,52,47,35,898","1,16,71,430",Blues
Piel,Piel,Tiago PZK,02-01-2024,USWL12400226,748,56.1,"12,88,33,634","6,815","4,87,21,232",79,"11,42,63,622","5,72,164",Folk Music
Pasoori,Pasoori,Shae Gill,02-06-2022,FR10S2289473,750,56.1,"34,69,71,014","37,940","67,53,521",65,"92,84,40,031","94,95,255",Disco
the boy is mine,eternal sunshine,Ariana Grande,03-08-2024,USUM72317268,752,56,"17,53,36,290","8,386","7,98,12,251",80,"4,44,58,370","14,48,800",Rock
When We Were Young (The Logical Song),When We Were Young (The Logical Song),David Guetta,11-10-2023,UKWLG2300117,754,55.9,"15,89,52,262","20,712","6,17,78,572",3,"3,10,73,689","3,28,486",pop
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nu King,Jason Derulo,2/16/2024,USAT22400762,755,55.9,,,,,,,jazz
Lay Low,Lay Low,Tiï¿½ï¿,01-06-2023,NLZ542202348,756,55.9,"40,61,41,247","67,235","9,59,95,595",70,"9,13,67,578","7,07,830",Rock
Bounce When She Walk,Bounce When She Walk,Ohboyprince,02-03-2023,QZFZ72321643,753,55.9,"1,86,37,452","6,915","7,51,599",45,"65,34,668","1,16,631",pop
"Apna Bana Le (From ""Bhediya"")","Apna Bana Le (From ""Bhediya"")",Arijit Singh,11-05-2022,INZ031411736,757,55.8,"25,05,99,391","19,757","1,29,38,935",66,"64,27,74,625","46,20,243",jazz
Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,05-03-2022,USUM72206231,759,55.7,"31,56,80,664","50,632","1,39,85,305",69,"31,74,72,115","23,73,170",hip hop
Big Energy,Big Energy - Single,Latto,9/24/2021,USRC12102454,758,55.7,"32,41,62,855","53,099","3,28,07,694",61,"6,09,70,543","6,95,638",Rythem
Goodbyes (feat. Young Thug),Goodbyes (Feat. Young Thug),Post Malone,07-05-2019,USUM71912330,761,55.6,"1,26,39,89,128","1,56,671","2,59,05,453",72,"79,58,28,166","81,15,938",Blues
Location,Location,Khalid,5/24/2016,TCACO1662934,760,55.6,"1,36,92,99,352","1,69,370","3,22,75,029",71,"81,51,37,609","51,38,837",Folk Music
Italodisco,Italodisco,The Kolors,05-05-2023,ITQ002300342,762,55.4,"14,21,41,861","22,711","1,07,86,942",67,"14,23,19,744","8,19,805",Disco
Perfect Night,Perfect Night,LE SSERAFIM,10/27/2023,USA2P2349660,763,55.4,"27,96,67,395","23,583","1,62,20,736",78,"9,37,07,680","11,39,367",Rock
Vida de Rico,Vida de Rico,Camilo,9/21/2020,USSD12000388,767,55.4,"56,88,23,269","54,968","2,64,55,856",64,"1,09,41,29,734","76,37,000",pop
Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,04-07-2023,USQX92302369,765,55.4,"43,29,88,420","32,294","2,84,54,994",67,"19,46,58,217","12,61,625",jazz
In My Feelings,Scorpion,Drake,6/29/2018,USCM51800206,766,55.4,"1,38,96,07,643","1,79,820","3,69,37,605",68,"74,92,82,095","94,64,140",Rock
You Broke My Heart,For All The Dogs Scary Hours Edition,Drake,10-06-2023,USUG12309646,764,55.4,"12,35,22,254","26,849","2,11,66,663",,"2,12,13,402","3,65,281",pop
Attention,Attention,Charlie Puth,4/20/2017,USAT21700928,768,55.3,"1,80,02,54,516","1,62,682","4,01,59,047",75,"1,87,55,29,996","1,45,29,538",Rock
Zhurek,Zhurek,Adam,10-06-2023,DGA0M2333309,770,55.3,"88,93,883","1,745","3,85,351",,"23,85,85,397","14,78,754",pop
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,5/25/2018,USAT21802284,769,55.3,"1,70,99,91,997","1,87,053","7,99,25,766",80,"1,44,79,64,376","1,99,17,766",jazz
In The End,In the End,Tommee Profitt,04-06-2018,TCADO1871408,771,55.2,"8,50,68,645","23,747","23,45,029",52,"1,61,56,82,416","1,60,97,448",hip hop
Took Her To The O,Took Her To The O,King Von,2/21/2020,USUYG1296663,772,55.1,"49,78,32,707","1,56,669","1,34,64,335",74,"26,59,05,159","23,63,958",Rythem
Boyfriend,Boyfriend,Dove Cameron,02-11-2022,USQX92200693,774,55.1,"63,78,36,235","96,878","5,07,39,981",68,"18,29,17,309","35,47,237",Blues
Orquestra Maldita,Orquestra Maldita,TRASHXRL,6/15/2023,SGW502301764,773,55.1,"11,94,45,482","16,844","1,59,41,203",14,"5,28,78,314","7,12,327",Folk Music
Sucker,Sucker,Jonas Brothers,03-01-2019,USUG11900515,775,55,"1,41,18,56,834","1,28,280","4,23,94,972",73,"64,11,58,161","96,61,491",Disco
Alone,Alone,Marshmello,5/13/2016,CA6D21600147,776,55,"56,11,03,984","80,971","1,87,64,148",65,"3,13,08,43,590","3,27,99,797",Rock
Moto,Moto - Single,Diler Kharkiya,01-06-2020,INR731900731,778,54.9,,424,"60,155",,"70,67,16,815","34,18,527",pop
Pareja Del Aï¿½,Pareja Del Aï¿½,Sebastian Yatra,4/16/2021,USUM72104664,779,54.9,"81,79,33,263","1,04,636","3,14,95,621",70,"65,84,07,296","45,41,248",jazz
PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,10/20/2022,QZNMX2257577,777,54.9,"19,31,09,326","76,047","47,65,141",8,"6,44,13,388","11,43,541",Rock
GOOBA,GOOBA,6ix9ine,05-08-2020,QZA742002191,780,54.8,"47,20,27,271","97,766","88,76,147",2,"1,01,29,49,756","1,42,57,151",pop
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12305004,781,54.8,"99,75,36,616","5,268","19,49,130",1,,,jazz
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401989,790,54.7,"6,61,01,468","3,693","98,78,576",84,"42,52,419","1,17,031",hip hop
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),5/17/2024,GBARL2400669,785,54.7,"45,05,404","1,248","1,94,27,406",64,,,Rythem
Light Switch,Light Switch (Instrumental),Charlie Puth,1/19/2022,USAT22107359,782,54.7,"59,35,54,969","84,288","1,72,84,885",67,"28,44,99,511","39,09,648",Blues
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,05-01-2024,INS182401375,783,54.7,"18,52,457",79,"33,99,376",,"5,72,54,911","12,54,450",Folk Music
On Me,On Me,Lil Baby,12-04-2020,USUG12004399,788,54.7,"36,80,17,246","1,05,732","1,51,29,396",67,"22,71,82,263","15,54,044",Disco
when the party's over,when the party's over,Billie Eilish,10/17/2018,USUM71815958,787,54.7,"1,84,59,38,685","1,86,633","7,91,24,996",79,"93,13,98,498","1,37,75,924",Rock
Love The Way You Lie,538 Hitzone 55,Eminem,01-01-2010,USUM71015397,784,54.7,"1,53,20,52,160","2,36,943","7,61,67,038",79,"3,00,91,44,927","1,58,64,764",pop
Party,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214885,789,54.7,"72,50,76,772","83,311","2,90,09,374",72,"29,66,61,885","21,50,658",jazz
Make You Mine,Make You Mine,Madison Beer,02-09-2024,USSM12400758,786,54.7,"12,79,09,006","13,354","4,99,84,859",,"2,66,53,465","7,88,713",Rock
Freaks,Freaks,Surf Curse,5/15/2021,USAT22102269,791,54.6,"1,08,93,28,286","2,00,016","3,34,98,182",77,"25,67,38,121","46,01,685",pop
In Da Getto,In Da Getto,J Balvin,07-02-2021,QZM5U2100095,792,54.6,"48,43,75,103","1,33,279","2,76,02,101",61,"21,89,75,838","31,59,820",jazz
Chale,Chale - Single,Eden Muï¿½ï,2/18/2022,MXB952200017,794,54.5,"41,41,04,069","33,044","1,82,47,093",67,"66,56,26,745","28,89,082",hip hop
Try That In A Small Town,Try That In A Small Town,Jason Aldean,5/19/2023,QMRSZ2300454,793,54.5,"6,64,18,201","20,547","17,58,957",37,"5,95,50,101","14,32,480",Rythem
Tarot,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214881,796,54.3,"74,25,15,730","93,128","2,86,04,664",73,"27,52,03,830","14,99,544",Blues
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,3/23/2023,SGB502340678,795,54.3,"2,49,63,236","5,624","10,97,527",48,"9,69,57,064","13,19,260",Folk Music
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,02-09-2024,USSM12401303,798,54.3,"42,50,58,273","2,563","1,19,67,164",,"4,67,91,219","6,43,498",Disco
Petit gï¿½ï¿,Petit gï¿½ï¿,Jungeli,08-04-2023,QMBZ92393247,797,54.3,"15,91,81,956","29,011","1,09,43,796",74,"15,90,92,284","8,20,029",Rock
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,02-04-2023,ING642301070,801,54.2,"1,25,047",6,"44,905",14,"65,97,24,253","41,99,987",pop
ýýý,Show - Single,Ado,09-06-2023,JPPO02302806,800,54.2,"11,43,81,380","15,725","43,90,255",67,"23,02,52,306","16,06,934",jazz
Breaking the Habit,Papercuts,Linkin Park,04-12-2024,USWB12401898,802,54.2,"42,86,29,823",2,454,,,,Rock
Work,ANTI (Deluxe),Rihanna,1/28/2016,QM5FT1600116,799,54.2,"1,39,95,21,364","1,44,823","4,60,76,265",73,"1,66,20,63,771","1,07,70,107",pop
Normal,Normal,Feid,07-08-2022,USUM72211935,804,54.1,"72,47,72,954","76,821","3,10,39,211",76,"39,57,04,504","15,56,356",jazz
LALALALA,ROCK-STAR,Stray Kids,11-10-2023,US5TA2300151,803,54.1,"15,45,92,041","10,814","1,02,89,612",,"16,19,98,287","28,25,345",hip hop
Sum 2 Prove,Sum 2 Prove,Lil Baby,01-10-2020,USUG11902886,807,54,"44,49,34,033","1,41,088","1,73,49,295",66,"41,16,28,542","28,68,681",Rythem
Lottery (Renegade),Lottery,K CAMP,04-01-2019,USUYG1247701,808,54,"17,35,26,912","28,272","66,07,554",46,"10,27,74,513","13,00,907",Blues
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,08-11-2017,USWB11701181,805,54,"1,38,21,91,196","1,19,969","5,14,71,665",66,"1,31,83,25,154","68,88,667",Folk Music
